应用,评估维度,Ground Truth（人工标注）
AccountKit-QuickLogin,业务场景,使用设备硬件信息展示、快速登录、隐私协议页面操作场景
AccountKit-QuickLogin,隐私数据操作,API 接口输出授权码、脱敏手机号，本地展示不上传
AccountKit-QuickLogin,操作主体,账号登录 SDK、网络设备信息 API、登录页面业务组件
AccountKit-QuickLogin,隐私数据项,授权码、手机号码
AdsKit,业务场景,应用首页广告加载、广告追踪授权申请、短信监听场景
AdsKit,隐私数据操作,广告 SDK 接口输出 OAID 匿名设备标识，采集广告交互日志、读取短信内容
AdsKit,操作主体,广告服务 SDK、系统短信监听服务、广告页面渲染组件
AdsKit,隐私数据项,匿名设备标识符
ArkTS-wphui1.0,业务场景,搜索页面输入关键词检索内容
ArkTS-wphui1.0,隐私数据操作,接收用户手动输入搜索关键词并页面渲染展示
ArkTS-wphui1.0,操作主体,页面搜索输入框组件、前端检索业务逻辑
ArkTS-wphui1.0,隐私数据项,搜索关键词
Health_Service_Kit,业务场景,运动功能授权、运动数据保存读取、设备标识关联健康数据源
Health_Service_Kit,隐私数据操作,API 输入输出读写运动健康数据，API 输入读取 healthStore 设备标识信息
Health_Service_Kit,操作主体,鸿蒙 Health Kit 服务、运动数据管理页面、healthStore 数据源模块
Health_Service_Kit,隐私数据项,运动健康数据、设备标识信息
IntentsKit-codelab-Clientdemo-ArkTS,业务场景,分享意图按钮输入文本跨应用分享、获取 Session 会话 ID、用户输入并提交内容
IntentsKit-codelab-Clientdemo-ArkTS,隐私数据操作,接收 TextArea 用户输入内容，封装传入 shareIntent 完成分享
IntentsKit-codelab-Clientdemo-ArkTS,操作主体,跨应用意图分发服务、分享交互页面、会话 ID 查询按钮
IntentsKit-codelab-Clientdemo-ArkTS,隐私数据项,用户输入内容
PaymentKit-CodelabDemo,业务场景,点击发起支付、立即付款、签约代扣协议页面操作
PaymentKit-CodelabDemo,隐私数据操作,API 输入组装商户号、预支付 ID、授权标识、预签约编号，本地加密传输交易参数
PaymentKit-CodelabDemo,操作主体,PaymentKit 支付套件、支付签约页面、网络状态检测工具
PaymentKit-CodelabDemo,隐私数据项,商户号、预支付交易会话标识、授权标识、预签约编号
Pedometer,业务场景,首页申请计步 / 定位权限、开启定位记录运动轨迹、计步传感器初始化
Pedometer,隐私数据操作,传感器 API 输出实时步数，定位 API 输出经纬度、地址位置信息，本地存储运动目标
Pedometer,操作主体,加速度传感器服务、系统定位服务、计步首页 LocationUtil 工具
Pedometer,隐私数据项,位置信息、步数数据
Test_login_in_try,业务场景,登录页面输入账号密码执行登录校验
Test_login_in_try,隐私数据操作,接收用户 TextInput 手动输入账号、密码表单数据
Test_login_in_try,操作主体,登录页面输入框组件、登录校验业务逻辑
Test_login_in_try,隐私数据项,登录账号、登录密码
Test_user_info,业务场景,个人信息表单页面填写全量个人属性数据
Test_user_info,隐私数据操作,表单接收用户全量手动填写个人信息数据
Test_user_info,操作主体,个人信息登记页面表单组件、前端信息存储逻辑
Test_user_info,隐私数据项,姓名、昵称、性别、年龄、年龄段、出生日期、年级、国家、民族、工作信息、收入状况、房屋数据、身高、体重、婚姻状况、家庭成员信息、教育背景
TodayNews_harmony,业务场景,首页下拉刷新加载新闻、点击新闻查看详情、全网络请求适配设备
TodayNews_harmony,隐私数据操作,网络 API 输出 Cookie、作者头像、昵称信息，HTTPS 加密传输新闻接口数据
TodayNews_harmony,操作主体,HttpUtil 网络请求工具、新闻列表详情渲染组件
TodayNews_harmony,隐私数据项,Cookie、头像图片、昵称
WebCookie,业务场景,页面点击查看、自动读取、设置 / 删除 Cookie 操作
WebCookie,隐私数据操作,WebCookieManager 接口输入输出读写、删除会话 Cookie 凭证
WebCookie,操作主体,系统 WebCookieManager、网页验证页面、Cookie 操作按钮
WebCookie,隐私数据项,Cookie
Wechat_HarmonyOS,业务场景,设备信息页读取硬件网络参数、聊天语音录制、相册选头像、搜索输入、通讯录读取
Wechat_HarmonyOS,隐私数据操作,用户输入搜索 / 聊天文本；API 输入输出相册头像；本地业务读取通讯录、昵称身份；API 输出 IP、设备信息
Wechat_HarmonyOS,操作主体,搜索页面、聊天页面、相册选择工具、Contact 联系人模块、硬件信息页面
Wechat_HarmonyOS,隐私数据项,搜索关键词、聊天内容、头像图片、通讯录信息、昵称、用户身份信息、IP 地址、设备信息
codeLab_API,业务场景,页面点击按钮查看设备品牌、窗口、系统设置信息
codeLab_API,隐私数据操作,系统属性 API 输出设备品牌、窗口、屏幕方向信息，本地展示不存储上传
codeLab_API,操作主体,鸿蒙蓝牙 / WiFi 原子服务、设备信息展示页面
codeLab_API,隐私数据项,设备信息
device-security-kit,业务场景,页面点击获取设备 Token 按钮，用于设备安全核验审计
device-security-kit,隐私数据操作,安全套件 API 输出设备安全 Device Token，本地临时展示不存储上传
device-security-kit,操作主体,DeviceSecurityKit 安全服务、证书查询页面按钮逻辑
device-security-kit,隐私数据项,设备标识信息
ohbili,业务场景,应用启动生成 App UUID、搜索框输入检索、日志查看上传、网络状态监测
ohbili,隐私数据操作,用户输入搜索关键词；本地生成应用唯一 UUID；网络请求携带 Cookie 参数
ohbili,操作主体,搜索页面 SearchBar、启动 Splash 页、Api.ts 网络请求模块
ohbili,隐私数据项,搜索关键词、应用唯一标识符、Cookie
