应用,数据项,证据类型,证据
AccountKit-QuickLogin,授权码,API输出,QuickLoginPage.ets:104 response.authorizationCode
AccountKit-QuickLogin,手机号码,API输出,PrepareLoginPage.ets匿名手机号码
AdsKit,匿名设备标识符,API输出,广告服务初始化产生匿名设备标识
ArkTS-wphui1.0,搜索关键词,用户输入,Index.ets:25 Search输入
Health_Service_Kit,运动健康数据,API输入输出,ExerciseSequenceManagement.ets saveData/readData
Health_Service_Kit,设备标识信息,API输入,healthStore数据源中的设备信息
IntentsKit-codelab-Clientdemo-ArkTS,用户输入内容,用户输入,Index.ets:29 TextArea输入并传给shareIntent
PaymentKit-CodelabDemo,商户号,API输入,Index.ets orderStr.merc_no
PaymentKit-CodelabDemo,预支付交易会话标识,API输入,Index.ets orderStr.prepay_id
PaymentKit-CodelabDemo,授权标识,API输入,Index.ets orderStr.auth_id
PaymentKit-CodelabDemo,预签约编号,API输入,Index.ets contractStr.preSignNo
Pedometer,位置信息,API输出,LocationUtil.ets位置监听与HomePage.ets逆地理编码
Pedometer,步数数据,API输出,HomePage.ets计步器传感器回调
Test_login_in_try,登录账号,用户输入,Index.ets:24 TextInput账号
Test_login_in_try,登录密码,用户输入,Index.ets:32 TextInput密码
Test_user_info,姓名,用户输入,Index.ets个人信息登记表
Test_user_info,昵称,用户输入,Index.ets个人信息登记表
Test_user_info,性别,用户输入,Index.ets个人信息登记表
Test_user_info,年龄,用户输入,Index.ets个人信息登记表
Test_user_info,年龄段,用户输入,Index.ets个人信息登记表
Test_user_info,出生日期,用户输入,Index.ets个人信息登记表
Test_user_info,年级,用户输入,Index.ets个人信息登记表
Test_user_info,国家,用户输入,Index.ets个人信息登记表
Test_user_info,民族,用户输入,Index.ets个人信息登记表
Test_user_info,工作信息,用户输入,Index.ets个人信息登记表
Test_user_info,收入状况,用户输入,Index.ets个人信息登记表
Test_user_info,房屋数据,用户输入,Index.ets个人信息登记表
Test_user_info,身高,用户输入,Index.ets个人信息登记表
Test_user_info,体重,用户输入,Index.ets个人信息登记表
Test_user_info,婚姻状况,用户输入,Index.ets个人信息登记表
Test_user_info,家庭成员信息,用户输入,Index.ets个人信息登记表
Test_user_info,教育背景,用户输入,Index.ets个人信息登记表
TodayNews_harmony,Cookie,API输出,HttpUtil响应头set-cookie
TodayNews_harmony,头像图片,API输出,新闻作者avatar_url
TodayNews_harmony,昵称,API输出,新闻作者MediaInfo.name
WebCookie,Cookie,API输入输出,WebCookieManager读取写入和删除Cookie
Wechat_HarmonyOS,搜索关键词,用户输入,SearchPage.ets:32 TextInput搜索
Wechat_HarmonyOS,聊天内容,用户输入,ChatPage.ets:370 TextArea聊天内容
Wechat_HarmonyOS,头像图片,API输入输出,PhotoPickerUtils.ets相机选择器
Wechat_HarmonyOS,通讯录信息,本地业务数据,Contact.ets联系人姓名与头像
Wechat_HarmonyOS,昵称,本地业务数据,Home.ets聊天对象昵称
Wechat_HarmonyOS,用户身份信息,本地业务数据,用户二维码与聊天身份
Wechat_HarmonyOS,IP地址,API输出,HardwareIndexPage.ets连接属性
Wechat_HarmonyOS,设备信息,API输出,HardwareIndexPage.ets设备类型与系统信息
codeLab_API,设备信息,API输出,ScenarioFusionKit系统属性API
device-security-kit,设备标识信息,API输出,DevCertManagerModel.ts getDeviceToken
ohbili,搜索关键词,用户输入,SearchBar.ets:67 TextInput搜索
ohbili,应用唯一标识符,本地生成,Splash.ets generateRandomUUID
ohbili,Cookie,网络请求,Api.ts搜索请求Cookie参数
