type,keywords,outputName,rule
data_item,phoneNumber|anonymousPhone,手机号码,
data_item,geoLocationManager,位置信息,
data_item,imgPath: string|avatar_url,头像图片,
data_item,contact|联系人,通讯录信息,
data_item,authorizationCode|authCode|授权码,授权码,
data_item,oaid|匿名设备标识,匿名设备标识符,
data_item,searchText|searchKeyword|this.keyword|changeValue|搜索关键词,搜索关键词,
data_item,runningSequence|exerciseSequence|运动健康数据,运动健康数据,
data_item,deviceToken|DeviceCategory|设备标识信息,设备标识信息,
data_item,shareIntent|用户输入内容,用户输入内容,
data_item,merc_no|商户号,商户号,
data_item,prepay_id|预支付交易会话标识,预支付交易会话标识,
data_item,auth_id|授权标识,授权标识,
data_item,preSignNo|预签约编号,预签约编号,
data_item,PEDOMETER|步数数据|步数统计,步数数据,
data_item,placeholder: '账号',登录账号,
data_item,登录密码|placeholder: '密码',登录密码,
data_item,// 姓名|姓名：,姓名,
data_item,// 昵称|昵称：,昵称,
data_item,// 性别|性别：,性别,
data_item,// 年龄|年龄：,年龄,
data_item,// 年龄段|年龄段：,年龄段,
data_item,// 生日|生日：,出生日期,
data_item,// 年级|年级：,年级,
data_item,// 国家|国家：,国家,
data_item,// 民族|民族：,民族,
data_item,// 工作|工作：,工作信息,
data_item,// 收入状况|收入状况：,收入状况,
data_item,// 房屋数据|房屋数据：,房屋数据,
data_item,// 身高|身高：,身高,
data_item,// 体重|体重：,体重,
data_item,// 婚姻状况|婚姻状况：,婚姻状况,
data_item,// 家庭成员|家庭成员：,家庭成员信息,
data_item,// 教育背景|教育背景：,教育背景,
data_item,chatText|聊天内容,聊天内容,
data_item,nickname:|this.data.nickname|class MediaInfo|// 昵称,昵称,
data_item,用户身份信息|MyQrCode,用户身份信息,
data_item,IPAddress|IP地址,IP地址,
data_item,ScenarioFusionKit|data.deviceType|deviceType: string|设备品牌|设备方向,设备信息,
data_item,appUuid|应用唯一标识符,应用唯一标识符,
data_item,WebCookieManager|@Header('Cookie')|let cookies =|set-cookie,Cookie,
description_rule,,,业务场景应描述用户正在使用的具体功能
description_rule,,,数据操作使用收集、读取、存储、上传或共享等明确动词
description_rule,,,操作主体没有更具体证据时填写本应用
description_rule,,,隐私数据项优先使用本表配置的输出名称
